Job Name,Count
[],633, rien
['vve'],87, inactif
['menuisier'],42, proletaire
['couturière'],39, proletaire
['ménagère'],39, inactif
['maçon'],36, proletaire
['veuve'],35, inactif
['jardinier'],33, proletaire
['man.'],30, proletaire
['manœuvre'],29, proletaire
"['domestique,']",28, proletaire
['peintre'],26, proletaire
['serrurier'],24, intermediaire
['agriculteur'],22, proletaire
['man'],22, proletaire
['rentière'],22, inactif
['chauffeur'],19, proletaire
['cordonnier'],19, intermediaire
['mécanicien'],19, intermediaire
['représentant'],19, intermediaire
['étud'],19, inactif
['journalier'],18, proletaire
['charpentier'],17, proletaire
"['employé,']",17, proletaire
['coiffeur'],16, proletaire
['cuisinière'],16, proletaire
['boulanger'],15, proletaire
['comptable'],15, intermediaire
['étudiant'],15, inactif
['ferblantier'],14, proletaire
['ébéniste'],14, proletaire
['typo'],13, intermediaire
['employé'],12, intermediaire
['empi'],11, intermediaire
['professeur'],11, élevé
['tailleur'],11, proletaire
['typographe'],11, intermediaire
['vendeuse'],11,proletaire
['épicerie'],11,proletaire
['boucher'],10, proletaire
['cafetier'],10, proletaire
['charretier'],10, proletaire
['horloger'],10, intermediaire
['instit'],10, élevé
['institutrice'],10, élevé
['lingère'],10, proletaire
"['manœuvre,']",10,proletaire
['sommelière'],10, intermediaire
['imprimeur'],9, proletaire
['magasinier'],9,proletaire
['rentier'],8,inactif
['repasseuse'],8, proletaire
['tapissier'],8, proletaire
['vend'],8,proletaire
"['étudiant,']",8, inactif
['charron'],7, intermediaire
['commerçant'],7,proletaire
['concierge'],7,proletaire
['coutur.'],7,proletaire
['emp. bur'],7, intermediaire
['employé postal'],7, proletaire
['journalière'],7, proletaire
['laitier'],7, proletaire
['modiste'],7, intermediaire
['monteur'],7, proletaire
['mécan.'],7, intermediaire
['pasteur'],7, proletaire
['pension'],7, inactif
['portier'],7, proletaire
['relieur'],7, intermediaire
['religieuse'],7, inactif
['architecte'],6, élevé
['cout'],6, proletaire
"['empi, postal']",6, proletaire
['mén'],6, inactif
['nég'],6, proletaire
['technicien'],6, intermediaire
['carrossier'],5, intermediaire
['charcutier'],5, proletaire
['coutur'],5, proletaire
['cuisinier'],5, proletaire
['domestique'],5, proletaire
['emp. banque'],5, intermediaire
['emp. comm'],5, proletaire
"['empi, bureau']",5, intermediaire
['entrepreneur'],5, intermediaire
['ingénieur'],5, élevé 
['instituteur'],5, élevé
['musicien'],5, intermediaire
['médecin'],5, élevé
['plâtrier'],5, proletaire
['rent'],5, inactif
['retraité'],5, inactif
['secrétaire'],5, proletaire
['vigneron'],5,proletaire
['blanchisseuse'],4, proletaire
['bûcheron'],4, proletaire
['camionneur'],4,proletaire
['commis postal'],4, proletaire
['commis'],4, proletaire
['demoiselle de magasin'],4, proletaire
['dessinateur'],4, intermediaire
"['empi, banque']",4, intermediaire
"['empi, bur.']",4, intermediaire
"['empi, de bureau']",4, intermediaire
"['empi, de comm']",4, proletaire
['employé trams'],4, proletaire
"['employéj.-s.,']",4, proletaire
['facteur'],4, proletaire
['garagiste'],4, intermediaire
['jardin'],4, proletaire
"['journalière,']",4, proletaire
['machiniste'],4, proletaire
['maréchal'],4, intermediaire
['menuis'],4, proletaire
['mécan'],4, intermediaire
['ménag'],4, inactif
['négociant'],4, proletaire
['ouvr. de ville'],4, proletaire
['parqueteur'],4, proletaire
['prof'],4, élevé
['représ'],4, intermediaire
['tailleur de pierres'],4, proletaire
['tonnelier'],4, proletaire
['vendeur'],4, proletaire
['électricien'],4, intermediaire
['épicier'],4, proletaire
['ag. de police'],3, intermediaire
['agent de police'],3, intermediaire
['ancien pasteur'],3, inactif
['appareilleur'],3, proletaire
['avocat'],3, élevé
['caissière'],3, proletaire
['chapelier'],3, intermediaire
['cimenteur'],3, proletaire
['coiffeuse'],3, proletaire
"['commis,']",3, proletaire
['commissionnaire'],3, proletaire
['confiseur'],3, proletaire
['cuisin'],3, proletaire
['empi. bur.'],3, intermediaire
['empi. t. l.'],3, proletaire
['gypsier'],3, proletaire
['inst'],3, élevé
['institut'],3, élevé
['mécanic.'],3, intermediaire
['mén.'],3, inactif
['négoc'],3, proletaire
['ouvr. de fabr'],3, proletaire
['paveur'],3, proletaire
['pharmacien'],3, élevé
['photogr.'],3, proletaire
['primeurs'],3, proletaire
"['prof', '.']",3, élevé
['scieur'],3, proletaire
['sommel'],3, intermediaire
"['sténo', 'dactylo']",3, proletaire
['tabacs'],3,proletaire
['taill'],3, proletaire
['tanneur'],3,proletaire
['terrassier'],3,proletaire
['vannier'],3,proletaire
['a g. de police'],2,intermediaire
['agricult'],2,proletaire
['archit'],2, élevé
['banquier'],2, élevé
['batelier'],2, proletaire
['boulang'],2, proletaire
"['brig, de police']",2, intermediaire
['brigadier de police'],2, intermediaire
['brosseur'],2, proletaire
['caissier'],2, proletaire
['carreleur'],2, proletaire
['chauff. d’auto'],2, proletaire
['chauff.'],2, proletaire
['compt'],2, intermediaire
['d. de mag'],2, intermediaire
['dactylo'],2, proletaire
['domestique.'],2, proletaire
['droguiste'],2, intermediaire
['emballeur'],2, proletaire
['emp. commerce'],2, proletaire
['emp. t.l.'],2, intermediaire
['emp.'],2, proletaire
"['empi, aux casernes']",2, proletaire
"['empi, de banque']",2, intermediaire
"['empi, de bur']",2, intermediaire
"['empi, de bur.']",2, intermediaire
"['empi, debur.']",2, intermediaire
"['empi, d’hôtel']",2, proletaire
['empi. cff.'],2, intermediaire
['empi.'],2, proletaire
['employé de banque'],2, intermediaire
['employé de commerce'],2, proletaire
"['employé j.-s.,']",2, intermediaire
['encaisseur'],2, proletaire
['facteur postal'],2, proletaire
['femme de chambre'],2, proletaire
['fleuriste'],2, proletaire
['fondeur'],2, intermediaire
['forain'],2, proletaire
['forgeron'],2, intermediaire
['fourreur'],2, proletaire
['fourreuse'],2, proletaire
['garçon de magasin'],2,proletaire
"['gypsier', '-peintre,']",2, proletaire
['géomètre breveté'],2, intermediaire
['gérant'],2, inactif
['horticulteur'],2, intermediaire
['ing'],2, intermediaire
['ingén'],2, intermediaire
"['institutrice,']",2, élevé
['journal'],2, proletaire
['laiterie'],2,proletaire
['lithographe'],2,intermediaire
['manoeuvre'],2, proletaire
['manœuv.'],2, proletaire
['margeur'],2, proletaire
['margeuse'],2, proletaire
['meunier'],2, proletaire
['mêcan.'],2, intermediaire
['notaire'],2, intermediaire
['nurse'],2, intermediaire
['négociante'],2, proletaire
['ouv. cff'],2, intermediaire
['ouv. fahr'],2, intermediaire
['ouvr. de fahr'],2, intermediaire
